name,lat,lng,open_time,close_time,photo_url,address,mobile_number,website_url
"Great Southern Outdoors Inc. Boronia Firearms",-37.8624385,145.2875776,,,,"77A Boronia Rd, Boronia VIC 3155, Australia, Australia","+61 3 9762 2677",
"Compleat Angler & Camping World Nowra",-34.9091949,150.6040496,,,,"1/142 Princes Hwy, South Nowra NSW 2541, Australia","+61 2 4403 0650","https://www.bossoutdoor.com.au/"
"Sports Hut",-41.4302203,147.1285431,,,,"5 Doyne St, Invermay TAS 7248, Australia","+61 3 6331 7090","https://sportshut.com.au/"
"Coolalinga Guns & Ammo",-12.4689006,130.9843504,,,,"26 McKenzie Pl, Yarrawonga NT 0830, Australia","+61 8 8983 3166","https://www.cgaoutdoors.com.au/"
"FISH N SHOOTS Tackleworld-Goulburn",-34.7564466,149.7118623,,,,"Shop 2/104 Clinton St, Goulburn NSW 2580, Australia","+61 2 4822 1929"
"Adventure Camping & Fishing",-36.3528721,146.3239418,,,,"14 Rowan St, Wangaratta VIC 3677, Australia","+61 3 5722 4622","https://www.adventurecampingandfishing.com.au/"
"16 Wollongong St",-35.3272764,149.1783268,,,,"16 Wollongong St, Fyshwick ACT 2609, Australia"
"Elk's Hunting & Fishing",-36.0770336,146.9216957,,,,"582 David St, Albury NSW 2640, Australia","+61 2 6021 8494","https://www.elks.com.au/"
"Accuracy Matters",-34.2954402,146.0486718,,,,"56A Jondaryan Ave, Griffith NSW 2680, Australia","+61 2 6964 8171"
"Badlands",-33.7316587,150.9834149,,,,"2/7 Hoyle Ave, Castle Hill NSW 2154, Australia","+61 2 8866 4730","https://www.badlands.com.au/?utm_source=Google&utm_medium=Organic&utm_campaign=badlands"
"Belmont Guns and Ammo",-31.9588342,115.929275,,,,"107 Robinson Ave, Belmont WA 6104, Australia","+61 8 9277 9211","https://www.belmontguns.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb"
"Brisbane Hunting Supplies",-27.3167144,152.9793558,,,,"8a/700 Gympie Rd, Lawnton QLD 4501, Australia","+61 461 459 731","https://brisbanehuntingsupplies.com.au/"
"C & A Outdoors",-38.2383422,146.438507,,,,"61 Tramway Rd, Morwell VIC 3840, Australia","+61 3 5134 8038","https://www.caoutdoors.com.au/"
"Calibre Country Tamworth",-31.0858018,150.914889,,,,"49 Plain St, Tamworth NSW 2340, Australia","+61 2 6762 5318","https://www.calibrecountry.com.au/?utm_source=google&utm_medium=organic&utm_campaign=gmb"
"Compleat Angler & Camping World Kempsey",-31.0790112,152.8417312,,,,"44 Smith St, Kempsey NSW 2440, Australia","+61 2 6562 5307","https://linktr.ee/KempseyCampingFishingBike"
"Claremont Firearms",-32.1202877,115.7991581,,,,"28 Erceg Rd, Yangebup WA 6164, Australia","+61 8 9494 1380","https://claremontfirearms.com.au/"
"Fisher Firearms Wholesale PTY Ltd.",-34.915718,138.623887,,,,"20 Magill Rd, Norwood SA 5067, Australia","+61 8 8362 8977","https://www.fisherfirearms.com.au/"
"GunPro",-32.2454459,148.6052425,,,,"125-127 Talbragar St, Dubbo NSW 2830, Australia","+61 2 6882 8080",""
"Gun Sport Trading",-37.8345121,147.6082001,,,,"2/493 Main St, Bairnsdale VIC 3875, Australia","+61 3 5153 2624","https://www.gunsporttrading.com.au/"
"H&S FIREARMS",-38.0884162,147.0693718,,,,"shop 6/61 Princes Hwy, Sale VIC 3850, Australia","+61 3 5144 4540",""
"Hall's Firearms",-19.2756658,146.8006987,,,,"103 Charters Towers Rd, Hyde Park QLD 4812, Australia","+61 7 4772 1605","https://hallsfirearms.com.au/"
